order_id,user_id,order_amount,total_items,payment_method,created_at
1,746.00,224.00,2,cash,3/13/17
2,925.00,90.00,1,cash,3/3/17
3,861.00,144.00,1,cash,3/14/17
4,935.00,156.00,1,credit_card,3/26/17
5,883.00,156.00,1,credit_card,3/1/17
6,882.00,138.00,1,credit_card,3/14/17
7,915.00,149.00,1,cash,3/1/17
8,761.00,292.00,2,cash,3/8/17
9,914.00,266.00,2,debit,3/17/17
10,788.00,146.00,1,credit_card,3/30/17
11,848.00,322.00,2,credit_card,3/26/17
12,983.00,322.00,2,debit,3/12/17
13,799.00,266.00,2,credit_card,3/16/17
14,709.00,111.00,1,cash,3/22/17
15,849.00,447.00,3,credit_card,3/10/17
16,607.00,704000.00,2000,credit_card,3/7/17
17,731.00,176.00,1,cash,3/21/17
18,752.00,164.00,1,credit_card,3/21/17
19,761.00,258.00,2,cash,3/17/17
20,898.00,408.00,3,credit_card,3/29/17
21,987.00,322.00,2,cash,3/30/17
22,789.00,486.00,3,credit_card,3/4/17
23,985.00,704.00,4,credit_card,3/22/17
24,964.00,256.00,2,credit_card,3/12/17
25,917.00,495.00,3,cash,3/3/17
26,848.00,177.00,1,cash,3/25/17
27,882.00,145.00,1,cash,3/22/17
28,942.00,112.00,1,credit_card,3/17/17
29,944.00,322.00,2,cash,3/5/17
30,790.00,178.00,1,credit_card,3/4/17
31,857.00,310.00,2,cash,3/23/17
32,839.00,294.00,2,debit,3/19/17
33,712.00,465.00,3,credit_card,3/10/17
34,800.00,224.00,2,credit_card,3/3/17
35,704.00,244.00,2,debit,3/13/17
36,781.00,316.00,2,cash,3/8/17
37,979.00,459.00,3,credit_card,3/5/17
38,961.00,322.00,2,credit_card,3/14/17
39,921.00,148.00,1,credit_card,3/6/17
40,756.00,316.00,2,credit_card,3/7/17
41,793.00,352.00,1,credit_card,3/24/17
42,847.00,316.00,2,debit,3/20/17
43,934.00,624.00,4,debit,3/21/17
44,792.00,284.00,2,credit_card,3/8/17
45,759.00,195.00,1,credit_card,3/2/17
46,969.00,652.00,4,credit_card,3/4/17
47,954.00,346.00,2,cash,3/25/17
48,791.00,438.00,3,cash,3/5/17
49,714.00,296.00,2,debit,3/20/17
50,768.00,399.00,3,debit,3/2/17
51,984.00,276.00,2,debit,3/23/17
52,959.00,531.00,3,cash,3/25/17
53,968.00,459.00,3,cash,3/28/17
54,842.00,692.00,4,debit,3/8/17
55,823.00,181.00,1,cash,3/25/17
56,851.00,561.00,3,credit_card,3/13/17
57,739.00,560.00,5,credit_card,3/18/17
58,759.00,187.00,1,cash,3/30/17
59,837.00,145.00,1,credit_card,3/13/17
60,908.00,145.00,1,debit,3/27/17
61,607.00,704000.00,2000,credit_card,3/4/17
62,720.00,531.00,3,debit,3/21/17
63,981.00,260.00,2,debit,3/24/17
64,962.00,160.00,1,debit,3/1/17
65,887.00,480.00,3,credit_card,3/2/17
66,988.00,112.00,1,debit,3/29/17
67,743.00,322.00,2,cash,3/1/17
68,812.00,284.00,2,debit,3/3/17
69,994.00,390.00,3,credit_card,3/21/17
70,876.00,138.00,1,debit,3/4/17
71,725.00,184.00,1,credit_card,3/14/17
72,813.00,122.00,1,credit_card,3/20/17
73,960.00,130.00,1,debit,3/4/17
74,968.00,116.00,1,cash,3/22/17
75,862.00,142.00,1,credit_card,3/26/17
76,744.00,459.00,3,cash,3/6/17
77,975.00,127.00,1,cash,3/19/17
78,985.00,354.00,3,cash,3/22/17
79,806.00,132.00,1,credit_card,3/27/17
80,838.00,254.00,2,credit_card,3/3/17
81,979.00,584.00,4,credit_card,3/11/17
82,868.00,328.00,2,debit,3/4/17
83,857.00,234.00,2,cash,3/11/17
84,817.00,111.00,1,cash,3/12/17
85,707.00,118.00,1,debit,3/30/17
86,908.00,224.00,2,credit_card,3/27/17
87,711.00,234.00,2,credit_card,3/17/17
88,713.00,399.00,3,credit_card,3/4/17
89,998.00,513.00,3,credit_card,3/9/17
90,705.00,164.00,1,cash,3/11/17
91,744.00,193.00,1,debit,3/2/17
92,835.00,296.00,2,credit_card,3/9/17
93,856.00,146.00,1,credit_card,3/24/17
94,810.00,276.00,2,debit,3/7/17
95,961.00,149.00,1,cash,3/21/17
96,975.00,328.00,2,credit_card,3/1/17
97,758.00,346.00,2,cash,3/7/17
98,850.00,180.00,2,cash,3/22/17
99,741.00,181.00,1,debit,3/16/17
100,752.00,780.00,5,cash,3/6/17
101,972.00,156.00,1,credit_card,3/17/17
102,923.00,612.00,4,credit_card,3/28/17
103,964.00,354.00,3,cash,3/17/17
104,740.00,224.00,2,cash,3/17/17
105,803.00,532.00,4,cash,3/28/17
106,746.00,320.00,2,cash,3/16/17
107,953.00,149.00,1,cash,3/17/17
108,732.00,201.00,1,credit_card,3/21/17
109,926.00,276.00,2,cash,3/1/17
110,774.00,414.00,3,cash,3/1/17
111,893.00,129.00,1,cash,3/27/17
112,984.00,136.00,1,credit_card,3/11/17
113,885.00,165.00,1,debit,3/6/17
114,857.00,262.00,2,credit_card,3/13/17
115,755.00,590.00,5,cash,3/20/17
116,791.00,260.00,2,credit_card,3/19/17
117,813.00,374.00,2,debit,3/10/17
118,759.00,316.00,2,debit,3/29/17
119,789.00,153.00,1,credit_card,3/5/17
120,745.00,266.00,2,credit_card,3/17/17
121,774.00,284.00,2,credit_card,3/26/17
122,958.00,480.00,3,credit_card,3/22/17
123,997.00,492.00,3,debit,3/5/17
124,949.00,280.00,2,cash,3/11/17
125,983.00,188.00,2,credit_card,3/13/17
126,884.00,258.00,2,cash,3/19/17
127,839.00,624.00,4,debit,3/9/17
128,817.00,312.00,2,credit_card,3/5/17
129,963.00,544.00,4,debit,3/25/17
130,721.00,561.00,3,debit,3/14/17
131,723.00,256.00,2,debit,3/28/17
132,777.00,346.00,2,debit,3/13/17
133,963.00,224.00,2,credit_card,3/3/17
134,894.00,280.00,2,credit_card,3/8/17
135,845.00,390.00,3,cash,3/27/17
136,742.00,276.00,2,debit,3/19/17
137,961.00,765.00,5,credit_card,3/26/17
138,760.00,122.00,1,debit,3/30/17
139,915.00,426.00,3,cash,3/28/17
140,789.00,513.00,3,debit,3/29/17
141,930.00,441.00,3,debit,3/15/17
142,935.00,165.00,1,cash,3/26/17
143,855.00,145.00,1,debit,3/11/17
144,979.00,290.00,2,debit,3/30/17
145,828.00,284.00,2,debit,3/18/17
146,906.00,640.00,4,cash,3/30/17
147,899.00,111.00,1,debit,3/5/17
148,715.00,294.00,2,credit_card,3/17/17
149,985.00,164.00,1,credit_card,3/4/17
150,847.00,222.00,2,debit,3/12/17
151,718.00,435.00,3,credit_card,3/6/17
152,755.00,156.00,1,credit_card,3/3/17
153,808.00,173.00,1,cash,3/13/17
154,942.00,266.00,2,cash,3/21/17
155,872.00,173.00,1,debit,3/29/17
156,986.00,118.00,1,cash,3/13/17
157,734.00,306.00,2,credit_card,3/4/17
158,906.00,352.00,2,credit_card,3/24/17
159,795.00,90.00,1,credit_card,3/29/17
160,725.00,330.00,2,debit,3/22/17
161,990.00,25725.00,1,credit_card,3/12/17
162,877.00,296.00,2,debit,3/20/17
163,913.00,228.00,2,cash,3/26/17
164,915.00,272.00,2,debit,3/1/17
165,941.00,489.00,3,cash,3/9/17
166,921.00,144.00,1,credit_card,3/26/17
167,754.00,464.00,4,debit,3/7/17
168,913.00,468.00,4,credit_card,3/11/17
169,797.00,351.00,3,credit_card,3/8/17
170,970.00,284.00,2,debit,3/24/17
171,828.00,480.00,3,credit_card,3/28/17
172,724.00,147.00,1,debit,3/17/17
173,778.00,342.00,2,cash,3/2/17
174,956.00,224.00,2,debit,3/4/17
175,918.00,387.00,3,debit,3/13/17
176,792.00,193.00,1,credit_card,3/20/17
177,718.00,648.00,4,cash,3/16/17
178,849.00,441.00,3,cash,3/20/17
179,849.00,153.00,1,debit,3/25/17
180,897.00,142.00,1,debit,3/2/17
181,871.00,201.00,1,cash,3/2/17
182,823.00,127.00,1,cash,3/3/17
183,901.00,260.00,2,credit_card,3/16/17
184,920.00,176.00,1,cash,3/8/17
185,944.00,488.00,4,debit,3/24/17
186,888.00,328.00,2,debit,3/30/17
187,749.00,228.00,2,credit_card,3/6/17
188,980.00,118.00,1,cash,3/2/17
189,734.00,176.00,1,cash,3/11/17
190,928.00,362.00,2,debit,3/30/17
191,805.00,112.00,1,credit_card,3/22/17
192,922.00,352.00,2,cash,3/17/17
193,879.00,328.00,2,credit_card,3/15/17
194,942.00,153.00,1,cash,3/13/17
195,946.00,408.00,3,cash,3/12/17
196,745.00,426.00,3,credit_card,3/1/17
197,809.00,516.00,3,debit,3/21/17
198,960.00,326.00,2,debit,3/5/17
199,976.00,338.00,2,credit_card,3/24/17
200,961.00,117.00,1,cash,3/8/17
201,929.00,163.00,1,credit_card,3/15/17
202,967.00,258.00,2,credit_card,3/4/17
203,768.00,393.00,3,cash,3/28/17
204,785.00,260.00,2,credit_card,3/22/17
205,987.00,268.00,2,cash,3/19/17
206,747.00,588.00,3,debit,3/4/17
207,746.00,156.00,1,cash,3/9/17
208,999.00,176.00,1,debit,3/8/17
209,771.00,176.00,1,cash,3/10/17
210,727.00,284.00,2,debit,3/20/17
211,701.00,160.00,1,credit_card,3/4/17
212,712.00,292.00,2,credit_card,3/30/17
213,787.00,352.00,2,credit_card,3/13/17
214,980.00,352.00,2,cash,3/10/17
215,742.00,399.00,3,credit_card,3/27/17
216,793.00,236.00,2,cash,3/17/17
217,862.00,202.00,2,debit,3/9/17
218,960.00,306.00,2,credit_card,3/27/17
219,978.00,256.00,2,cash,3/4/17
220,884.00,780.00,5,credit_card,3/3/17
221,994.00,142.00,1,cash,3/3/17
222,753.00,147.00,1,debit,3/23/17
223,829.00,765.00,5,debit,3/13/17
224,767.00,272.00,2,credit_card,3/7/17
225,927.00,163.00,1,debit,3/2/17
226,734.00,133.00,1,cash,3/8/17
227,928.00,138.00,1,cash,3/18/17
228,917.00,330.00,2,debit,3/19/17
229,757.00,90.00,1,debit,3/13/17
230,772.00,362.00,2,cash,3/28/17
231,865.00,272.00,2,cash,3/4/17
232,730.00,338.00,2,cash,3/3/17
233,865.00,374.00,2,cash,3/8/17
234,761.00,336.00,2,credit_card,3/29/17
235,719.00,326.00,2,cash,3/22/17
236,938.00,531.00,3,debit,3/29/17
237,837.00,180.00,2,credit_card,3/18/17
238,835.00,585.00,3,debit,3/3/17
239,932.00,188.00,2,debit,3/17/17
240,967.00,136.00,1,cash,3/9/17
241,876.00,176.00,1,credit_card,3/8/17
242,953.00,244.00,2,debit,3/1/17
243,881.00,570.00,3,credit_card,3/13/17
244,861.00,114.00,1,credit_card,3/3/17
245,928.00,202.00,2,cash,3/30/17
246,890.00,360.00,4,cash,3/18/17
247,786.00,160.00,1,cash,3/12/17
248,854.00,176.00,1,debit,3/21/17
249,728.00,173.00,1,cash,3/29/17
250,732.00,156.00,1,debit,3/20/17
251,932.00,306.00,2,credit_card,3/14/17
252,892.00,256.00,2,debit,3/24/17
253,746.00,310.00,2,cash,3/6/17
254,753.00,222.00,2,debit,3/4/17
255,843.00,156.00,1,credit_card,3/21/17
256,794.00,187.00,1,cash,3/18/17
257,844.00,362.00,2,credit_card,3/7/17
258,842.00,374.00,2,credit_card,3/18/17
259,760.00,512.00,4,cash,3/18/17
260,963.00,780.00,4,credit_card,3/25/17
261,830.00,146.00,1,credit_card,3/13/17
262,775.00,176.00,1,credit_card,3/24/17
263,871.00,236.00,2,debit,3/17/17
264,827.00,324.00,2,debit,3/3/17
265,950.00,780.00,5,credit_card,3/24/17
266,871.00,262.00,2,debit,3/20/17
267,879.00,201.00,1,cash,3/14/17
268,790.00,330.00,2,credit_card,3/19/17
269,733.00,234.00,2,credit_card,3/7/17
270,986.00,187.00,1,credit_card,3/18/17
271,926.00,173.00,1,debit,3/17/17
272,727.00,402.00,2,credit_card,3/24/17
273,839.00,202.00,2,debit,3/14/17
274,803.00,122.00,1,cash,3/3/17
275,967.00,426.00,3,cash,3/3/17
276,989.00,171.00,1,credit_card,3/25/17
277,777.00,129.00,1,cash,3/30/17
278,954.00,374.00,2,credit_card,3/17/17
279,763.00,266.00,2,cash,3/29/17
280,869.00,128.00,1,credit_card,3/5/17
281,807.00,534.00,3,debit,3/27/17
282,836.00,561.00,3,debit,3/14/17
283,700.00,492.00,3,cash,3/26/17
284,772.00,354.00,3,debit,3/4/17
285,711.00,399.00,3,debit,3/11/17
286,742.00,156.00,1,cash,3/14/17
287,860.00,414.00,3,debit,3/15/17
288,945.00,266.00,2,credit_card,3/23/17
289,806.00,290.00,2,debit,3/24/17
290,803.00,386.00,2,debit,3/30/17
291,858.00,346.00,2,credit_card,3/12/17
292,890.00,142.00,1,credit_card,3/29/17
293,936.00,326.00,2,cash,3/21/17
294,918.00,561.00,3,cash,3/14/17
295,738.00,184.00,1,cash,3/6/17
296,835.00,190.00,1,debit,3/21/17
297,791.00,181.00,1,credit_card,3/22/17
298,818.00,346.00,2,debit,3/4/17
299,928.00,112.00,1,credit_card,3/12/17
300,964.00,489.00,3,debit,3/11/17
301,882.00,173.00,1,credit_card,3/17/17
302,854.00,131.00,1,debit,3/19/17
